APOGEE_ID,RA,DEC,evstate,J,H,K,TEFF,LOGG,ALPHA_M,C_FE,C_N,MG_MN,MN_O,CI_FE,N_FE,O_FE,MG_FE,SI_FE,FE_H,GAIA_PHOT_G_MEAN_MAG,GAIA_PHOT_BP_MEAN_MAG,GAIA_PHOT_RP_MEAN_MAG
2M19304941+4316010,292.7059,43.267,1,9.229,8.725,8.594,4799.7627,3.002469,-0.0018300004,-0.010256,-0.222559,-0.036323994,0.065797396,-0.067175,0.21230301,-0.018944003,0.010529399,0.005874999,0.072609454,10.809479,11.375217,10.129529
2M19305216+4218146,292.7174,42.3041,2,11.178,10.677,10.542,4844.8335,2.5052056,-0.010011001,0.087642,-0.12707101,-0.0411563,0.0420376,0.056098,0.214713,-0.011492599,-0.010611299,0.0038770027,-0.029392552,12.84724,13.430903,12.14317
2M19305546+3815037,292.7311,38.2511,2,9.606,9.151,9.033,5037.3345,2.938272,-0.0319772,-0.13597001,-0.58818996,-0.10904129,10000.045,-0.20673001,0.45221996,-9999.99,-0.054421306,-0.032071903,0.16227846,11.158735,11.714554,10.489631
2M19305588+3855263,292.7328,38.924,1,10.575,10.013,9.873,4672.864,2.655837,0.011843998,0.0071029,-0.18406901,0.027194604,-0.0015009008,-0.0406461,0.19117191,0.034566898,0.0602606,0.0234799,-0.01853355,12.261481,12.876218,11.533767
2M19305748+3731444,292.7395,37.529,1,11.226,10.691,10.55,4791.1406,2.7675009,-0.00557,0.011198707,-0.2783193,-0.016588088,0.05506099,-0.16704199,0.289518,-0.034507997,0.0039649047,-0.028856494,0.05628845,13.009568,13.651527,12.258583
2M19305784+4545054,292.741,45.7515,1,10.424,9.892,9.79,4713.9517,2.5614672,0.070379,0.06492099,0.019004017,0.1664567,-0.23417102,0.09626499,0.045916975,0.15884499,0.091130674,0.06842399,-0.38717154,12.092817,12.671316,11.393334
2M19305854+4629494,292.7439,46.4971,1,10.204,9.721,9.605,4728.6567,3.1502013,-0.0238696,0.083697975,-0.16384202,-0.07695228,0.12119499,0.028226882,0.24754,-0.020041019,0.024201691,-0.03628102,0.29841846,11.855572,12.4406,11.15662
2M19310024+4322154,292.751,43.371,2,10.466,9.94,9.814,4762.59,2.4598339,-0.008258,0.093017,-0.16926701,-0.038574696,0.066805996,0.041347995,0.262284,-0.016286002,0.011945302,0.025439,0.025900451,12.121583,12.714471,11.416155
2M19310121+4216595,292.7551,42.2832,2,9.652,9.097,8.994,4793.967,2.5125885,0.0064320005,-0.023870997,-0.380055,-0.008619294,0.017748997,-0.115315996,0.356184,0.016824,0.025953703,0.024978,0.03140045,11.298437,11.891442,10.600155
2M19310148+4903065,292.7562,49.0518,1,9.373,8.85,8.692,4583.5186,2.7010257,0.010768,0.098084,-0.307866,-0.124188274,0.14999497,0.074725,0.40595,0.029169023,0.05497572,0.04589501,0.33992845,11.115196,11.754071,10.382936
2M19310153+3809508,292.7564,38.1641,1,10.409,9.862,9.753,4713.605,2.6667073,0.053351,0.060216993,-0.03372401,0.16855767,-0.16649097,0.0013835132,0.093941,0.09828499,0.10035169,0.0617,-0.27393156,12.113563,12.711047,11.396916
2M19310232+4308020,292.7597,43.1339,1,10.895,10.385,10.275,4891.276,3.0231678,-0.0395322,-0.039422702,-0.22373201,-0.052232295,0.034811996,-0.1990407,0.1843093,-0.0351377,-0.052558,-0.049310703,-0.0021018507,12.53773,13.067895,11.819603
2M19310346+4305388,292.7645,43.0941,1,9.28,8.698,8.573,4518.5996,2.3563077,0.0143410005,0.11213962,-0.22343501,0.031244334,-0.030188631,0.08465262,0.33557463,0.04027462,0.041330323,0.02838362,-0.01756355,11.07522,11.722067,10.334283
